	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YGL068W	889	605	1024	749	975	1024	497	1459	2.27	4.2	4.56	4.56	4.38	2.97	2.6
YKL085W	748	731	613	833	1363	1101	916	972	7.01	22.15	26.71	20.96	17.26	8.81	7.01
YFL017C		159			338	121	253	195	1.55		2.28	1.94	1.92	1.66	2.03
YKL067W	2314	2138	2130	2840	3288	1777	2773	2912	3.08	7.26	7.84	7.21	6.24	5.35	4.06
YER042W	1495	949	1285	2155	1919	740	2295	1709	1.67	3.48	4.34	3.6	2.23	3.24	2.44
YDR353W	12131	12780	12427	13364	17173	14923	14834	14119	9.39	42.24	40.24	33.14	32.69	23.76	13.65
YHR005C-A	5020	4349	5953	6134	5513	6550	4649	5601	4.6	6.83	7.07	7.07	6.83	5.66	4.03
YKL150W		70			174	39	217	188	2.23	6.9	9.63	8.44	7.3	4.52	3.6
YKL035W	1379	1360	1592	2145	3167	1162	2222	1708	5.16	24.73	45.83	42.47	26.14	8.27	7.51
YGR167W	346	802	361		1147	807	692	787	2.38	4.83	5.4	4.8	4.18	3.26	2.72
YBL050W	413	538	441	386	706	421	758	543	1.36	2.65	2.62	2.54	2.29	2.04	1.56
YHR137W	141	30	170	119	202	65	182	242	0.43	1.42	2.78	2.96	2.18	0.66	0.35
YLR258W	52			78	38	12	99	38	2.43	17.89	29.06	22.33	16.35	4.86	4.96
YBR203W	59	103	89			83	65		0.54	1.22	1.58	1.16	1.07	0.76	0.6
YBL030C	169	81	237			142	16		8.65	13.67	11.82	10.8	11.42	7.85	8.13
YPR069C	1357	1046	1119	1395	1468	919	663	591	4.64	6.09	5.6	4.71	4.42	4.24	4.3
YIL063C	350	325	522		299		260	259	1.4	1.27	1.36	1.19	1.34	1	1.41
YGL105W	2586	2143	3074	2918	2893	2225	2784	3033	7.62	10.34	8.4	8.22	8.63	8.63	7.31
YGL229C	88	66	97			90	25		0.55	0.92	0.96	0.84	0.77	0.34	0.47
YDR180W	32	50	56		64	27	28	27	1.13	1.46	1.34	1.14	1.33	1.18	0.95
YDR011W		36			60	20	15	51	4.09	6.03	5.95	4.97	5.43	4.54	4.7
YBR208C	45	28	88		27	15	44	15	1.16	0.84	1.17	0.98	0.95	0.9	0.77
YNL242W	39			55		32	19		0.6	0.71	0.69		0.64	0.51	0.43
YDL058W	63	61	81	61	73	27	29	38	1.42	1.28	1.37	1.16	1.17	0.88	1.1
YJR104C	6523	6793	7805	11450	11518	13653	15424	18202	21.39	105.34	122.69	121.84	98.97	71.45	40.19
YDR533C	497	867	2830	3756	6717	8194	9688	9997	1.89	32.55	44.46	59.49	71.24	62.88	32.78
YOR285W	1436	1081	1125	1111	3912	4412	3288	4102	7.34	22.57		41.83	44.21	25.93	15.74
YGR209C		679	1534	1743	3749	3064	3694	2882	16.2	94.85	123.44	134.14	71.89	101.66	58.8
YPL170W	326	287	768	475	563	730	472	390	1.39	2.37	2.32	2.72	2.18	2.18	1.7
YCL035C	1469	1046	852	1061	2219	2360	1995	3113	4	8.05	11.23	12.63	10.62	8.28	6.54
YLR109W	29625	49482	32823	38927	95124	93990	91229	82332	20.55	86.89	100.5	97.75	109.22	78.85	50.95
YDR032C	523	366	649	570	1386	2260	2964	3795	5.84	20.9	30.81	41.5	40.65	41.5	20.32
YDR272W	218	117		56	596	558	278	608	1.81	3.43	4.31	4.2	4.14	3.22	2.48
YDR513W	2045	2249	4990	5286	4480	5260	5263	5133	2.96	19.23	20.19	18.45	16.51	8.14	4.91
YMR090W	90	194	221	385	1272	721	1440	1030	1.45	10.28	26.74	17.52	22.33	19.71	6.73
YOR020C	5318	6520	7644	9456	10884	10451	11096	12645	8.89	35.79	45.3	49.23	43.45	29.47	20.13
YBL041W	1211	902	1065	1228	2339	1353	2045	1414	3.72	7.29	8.09	7.82	6.31	8.61	5.45
YBR149W	789	958	338	1001	2168	1735	1952	2178	4.09	12.06	16.82	21.59	21.74	13.76	7.17
YMR318C	1551	1453	1963	2394	4080	4027	4730	5756	7.07	38.38	48.58	60.23	53.16	54.28	33.88
YMR038C	1843	2806	3668	5960	7011	5673	4370	7031	1.69	4.91	3.35	2.98	3.35	3.44	3.42
YIR037W	194	212		528	535	223	1155	1609	4.17	9.38	14.42	15.35	21.56	15.78	7.89
YKL142W	144	357	364	269	822	691	839	620	2.32	7.57	11.24	9.86	7.84	6.03	4.03
YCL018W		21	276		164	235	77	126	38.65	52.43	54.66	80.03	99.9	129.11	77.84
YOL151W	247	490	208	704	1239	925	1289	1094	2.4	43.81	34.85	21.9	24.99	20.16	15.92
YHR106W	59	94	240	178	117	173	207	189	1.01	1.92	1.92	1.88	1.93	1.53	1.24
YNL156C	218	613	769	527	614	527	1032	937	2.13	4.25	5.2	5.16	5.81	5.05	3.18
YOR122C	312	553			2459	584	1034	724	9.79	17.53	17.29	19.45	18.79	17.29	13.85
YFR052W	63	160			320	324	181	212	2.88	6.34	7.64	7.08	8.08	7.54	4.71
YFR050C	153	449			1049	582	349	231	4.05	8.8	10.1	9.3	10.17	11.06	6.18
YNL274C	47	69	289	475	1437	1214	1351	1563	0.76	10.25	18.61	17.24	13.72	5.93	3.29
YGR232W	373	108	252		307	122	648	364	3.32	5.86	6.41	6.63	6.92	5.43	4.03
YPL061W	2998	4580	6103	9103	15936	14199	20072	29838	4.7	35.33	36.57	37.08	40.3	15.38	20.15
YPL091W	401	294	401	217	700	436	552	543	2.18	5.11	5.33	5.26	4.94	3.3	2.98
YML070W	396	189	450	359	528	424	590	772	1.31	1.88	2.89	3.71	4.03	3.25	2.28
YJL068C		128			273	455	153	122	1.11	2.11	2.76	3.26	3.72	3.64	1.95
YPL154C		55		80	348	257	377	281	13.31	39.79	56.67	75.29	76.88	57.06	33
YHR104W	413	556	618	920	1858	1430	1766	1467	1.05	4.91	8.08	8.43	8.97	4.33	3.28
YEL071W		233	541	1079	931	710	1543	2968	2.33	3.18	3.89	4.17	5.58	4.93	1.91
YOL064C	44	101	88	40	221	153	132	139	1.41	1.89	2.04	2.02	2.21	2.23	1.63
YLR354C	760	353	456	1092	1175	905	2343	6622	6.4	17.49	21.24	23.41	28.42	27.84	19.96
