	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000106336	6.611375793	6.729200625	6.951152137	6.281791869	8.157861816	6.328260456	6.585730658	6.341246998	6.319396195	7.001807909	6.310903358	6.687107115	9.842142151	6.711026398	15.28785299	6.503122326
ENSG00000129910	4.744442838	5.029993286	5.335123586	7.511325692	9.556147568	12.01196712	9.623424925	6.087967371	4.884570866	4.907284266	6.013679366	7.811828447	12.07727483	9.573144849	8.825978477	5.936093962
ENSG00000120738	8.67499342	10.6264366	15.36604709	16.18173918	10.53684703	9.204056107	9.864198783	10.35131062	8.082421203	11.08355747	15.52830078	16.31875387	8.2594139	9.629542245	8.949702358	8.902493931
ENSG00000167861	5.423127587	5.298934481	5.292485465	5.45982719	7.375280071	11.54435339	10.50038322	7.505288393	6.098861861	5.586146518	5.622977108	6.068482939	11.37317547	8.19746967	9.497509525	6.970064935
ENSG00000211803	5.499607924	5.5959671	4.997247846	5.138977442	4.474278694	9.642263901	6.406875224	3.436107861	6.028345447	5.366085069	5.204890415	5.446577942	5.954022587	5.34680366	4.275716533	4.987991044
ENSG00000205045	3.924771654	4.383263505	4.356014019	4.589246986	4.225419015	5.832997666	3.856489553	4.053690742	8.038620873	4.533919783	2.27271661	4.072544525	4.181450927	3.956975159	4.582656243	4.581747353
ENSG00000187479	6.992322727	6.40148547	7.15098041	7.237885464	9.920068369	11.5261899	8.294496706	7.017943168	5.895962304	5.668234374	6.75504872	6.942701835	10.91698765	10.46161569	8.028771339	6.868730401
ENSG00000175197	7.062640203	7.632713787	10.7133029	12.52013819	12.44407875	12.99440046	8.684886782	6.751025596	6.969570394	7.542611403	10.70339699	12.07727483	12.43405712	12.63105365	8.966889426	7.234296863
ENSG00000185615	5.364967579	5.178678752	5.052922985	5.942156067	7.536310632	10.4333739	10.34897918	8.850615256	5.085819349	5.305806767	5.289167182	5.379661154	10.35131062	7.470089693	9.993392254	8.585345327
ENSG00000107731	5.321517905	5.200919251	5.104941026	5.352883319	8.405442141	10.48108236	8.129405562	6.171261949	4.789555412	5.272359683	5.504085152	4.850597112	10.02443738	9.075229356	7.454205744	6.232577486
ENSG00000173068	7.77941386	7.961949036	7.728348077	8.108607944	7.831568904	6.264449115	7.121698987	7.311609875	7.576723149	7.438599838	7.61947746	7.485832103	5.779523316	7.417855444	3.072546418	7.057064741
ENSG00000128965	7.956582365	7.95764823	8.93416411	10.22787955	12.97262092	12.35498978	8.356522275	6.588368492	8.022759838	8.087858287	8.417161732	10.52727688	11.66695572	12.60839028	7.720540572	6.629703185
ENSG00000167772	8.251410083	8.260921167	7.992254364	7.672924963	7.154070026	11.28301166	12.95680301	12.11833291	7.868692091	8.27274074	7.976163319	8.045548276	11.61763263	7.379550632	12.76576853	11.81464206
ENSG00000168676	11.45589726	11.37696918	10.56777077	10.76018094	10.38522242	10.77706934	11.20098979	11.64779934	11.18565967	10.95152972	11.66222172	11.63441419	9.492761452	12.28739686	16.29959681	11.7607883
ENSG00000118523	10.00247492	10.24615647	12.54006756	12.59078995	8.08215089	6.919379606	7.646476833	8.501465463	9.730192075	10.30320143	12.01984057	11.91066043	6.864915863	7.559409749	7.808212296	8.555519146
