UniProtKB:O95994	AGR2
UniProtKB:Q8TAC9	SCAMP5
UniProtKB:O94874	UFL1
UniProtKB:Q9Y3C8	UFC1
UniProtKB:H7C4F9	PDIA5
UniProtKB:Q70SY1	CREB3L2
UniProtKB:E9PIU6	TMX4
UniProtKB:E9PIN7	TMX4
UniProtKB:B4DIE3	TMX3
UniProtKB:Q6PF05	TTC23L
UniProtKB:Q8IUR6	CREBRF
UniProtKB:Q8IXB1	DNAJC10
UniProtKB:H3BT89	TMX3
UniProtKB:F8WBW5	PDIA3
UniProtKB:F8WBS6	PDIA3
UniProtKB:Q9BS26	ERP44
UniProtKB:Q4TT65	PDIA2
UniProtKB:C9JMN9	PDIA4
UniProtKB:C9JNG5	PDIA6
UniProtKB:Q9BZQ8	FAM129A
UniProtKB:Q9HCN8	SDF2L1
UniProtKB:F5GYS6	ERP27
UniProtKB:Q8N807	PDILT
UniProtKB:F5H4F7	TMX3
UniProtKB:I3L2Z6	TXNDC11
UniProtKB:I3L1W7	PDILT
UniProtKB:I3L1A5	TXNDC11
UniProtKB:I3L0Q4	TXNDC11
UniProtKB:Q76MJ5	ERN2
UniProtKB:Q9UMX0	UBQLN1
UniProtKB:Q8N8V4	ANKS4B
UniProtKB:Q9GZZ9	UBA5
UniProtKB:H3BRY0	TMX3
UniProtKB:H3BVI1	TMX3
UniProtKB:H3BPB3	TMX3
UniProtKB:Q6PKC3	TXNDC11
UniProtKB:O43889	CREB3
UniProtKB:Q9H3N1	TMX1
UniProtKB:P61960	UFM1
UniProtKB:Q9H1E5	TMX4
UniProtKB:H0Y4J5	PDIA2
UniProtKB:P13667	PDIA4
UniProtKB:H7BZJ3	PDIA3
UniProtKB:O75955	FLOT1
UniProtKB:Q13087	PDIA2
UniProtKB:Q96DN0	ERP27
UniProtKB:Q96JJ7	TMX3
UniProtKB:Q96HY6	DDRGK1
UniProtKB:C9JY10	PDIA5
UniProtKB:O94966	USP19
