ENSGID	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000106336	6.762069314	6.672141232	6.581072291	6.393501318	8.154234832	7.371796237	6.722285383	6.255536582	6.505129423	6.543650584	6.582605408	6.656254684	9.840333914	9.842142151	9.842142151	9.842142151
ENSG00000129910	4.429758213	5.131985329	5.836813295	7.258814345	9.566099195	10.18437516	8.36165081	6.920933899	4.536858349	5.318755713	6.101941945	7.679408961	12.08413169	9.998441536	7.884433631	6.311911585
ENSG00000120738	8.709217869	10.58028746	12.45127383	16.19228508	10.5457427	10.20052291	10.13910066	10.1353353	8.501796615	10.48784957	12.47307165	16.43279396	8.267155181	9.040995738	9.031010196	8.937333232
ENSG00000167861	5.338819231	5.35542877	5.372550695	5.409770102	7.374290196	7.375280071	7.469831578	7.505288393	5.798802731	5.822623777	5.848067803	5.909190046	11.3703781	8.341631561	7.983718247	6.92572247
ENSG00000211803	5.512326545	5.396969008	5.282530981	5.054723688	4.475034778	4.474278694	3.719245361	3.436107861	5.709482227	5.594380542	5.481127945	5.265712447	5.954643725	5.238266907	4.915976105	4.689431842
ENSG00000205045	4.055776096	4.200665044	4.34516701	4.630204202	4.227040362	4.040954284	3.991188079	3.971656635	4.687711535	4.533919783	4.38012803	4.072544525	4.1812082	4.180867367	4.430434002	4.640049651
ENSG00000187479	6.80800095	6.911816822	7.015607567	7.227987293	9.918567238	9.107282537	8.025098143	7.180865367	5.895962304	6.157647187	6.419332069	6.942701835	10.91698765	9.472879494	7.998640569	6.887925969
ENSG00000175197	6.995585751	8.37304045	9.750491796	12.50710153	12.44529707	10.56448276	8.476782633	6.881047708	6.920935308	8.205807413	9.49073895	12.06185882	12.43464719	10.70047327	8.794801179	7.341160127
ENSG00000185615	5.11660979	5.270902332	5.427178554	5.749362662	7.539354864	9.551197089	9.569400143	9.45445463	5.1527111	5.21561732	5.278311814	5.401682975	10.34689855	10.35131062	9.066972224	8.585345327
ENSG00000107731	5.225217412	5.236978029	5.249506054	5.278293911	8.403651281	8.405442141	6.780583819	6.171261949	5.117481004	5.103340995	5.087185499	5.043863266	10.01745272	8.896157612	7.424712127	6.283809401
ENSG00000173068	7.780393527	7.848427312	7.917041436	8.055111442	7.833492203	7.476633946	7.308121445	7.201298893	7.549318999	7.538669691	7.527783023	7.506375578	5.78068627	5.779523316	5.779523316	5.779523316
ENSG00000128965	7.640448672	8.287306391	8.93416411	10.22787955	12.97629744	10.6645716	8.342090161	6.597665685	7.626924718	8.283495922	8.942681816	10.27494619	11.67606975	9.693748148	7.872298724	6.53244865
ENSG00000167772	8.317059723	8.160559238	8.003918326	7.688692897	7.152535286	7.154070026	7.154070026	7.154070026	7.97771129	7.999381239	8.020954778	8.061152967	11.61448844	11.61763263	11.76091221	11.81464206
ENSG00000168676	11.49665754	11.31588894	11.13503103	10.77221333	10.38464674	10.7851356	11.25432266	11.61311288	11.10962407	11.2543682	11.39848039	11.68779731	9.495274894	12.28739686	15.08203226	17.17800881
