R0	R10	R20	R30	R40	R60	R90	fit.cluster
YGL068W	2.27	4.2	4.56	4.56	4.38	2.97	2.6	4
YKL085W	7.01	22.15	26.71	20.96	17.26	8.81	7.01	1
YFL017C	1.55	0	2.28	1.94	1.92	1.66	2.03	4
YKL067W	3.08	7.26	7.84	7.21	6.24	5.35	4.06	1
YER042W	1.67	3.48	4.34	3.6	2.23	3.24	2.44	4
YDR353W	9.39	42.24	40.24	33.14	32.69	23.76	13.65	2
YHR005C-A	4.6	6.83	7.07	7.07	6.83	5.66	4.03	1
YKL150W	2.23	6.9	9.63	8.44	7.3	4.52	3.6	1
YKL035W	5.16	24.73	45.83	42.47	26.14	8.27	7.51	2
YGR167W	2.38	4.83	5.4	4.8	4.18	3.26	2.72	4
YBL050W	1.36	2.65	2.62	2.54	2.29	2.04	1.56	4
YHR137W	0.43	1.42	2.78	2.96	2.18	0.66	0.35	4
YLR258W	2.43	17.89	29.06	22.33	16.35	4.86	4.96	1
YBR203W	0.54	1.22	1.58	1.16	1.07	0.76	0.6	4
YBL030C	8.65	13.67	11.82	10.8	11.42	7.85	8.13	1
YPR069C	4.64	6.09	5.6	4.71	4.42	4.24	4.3	1
YIL063C	1.4	1.27	1.36	1.19	1.34	1	1.41	4
YGL105W	7.62	10.34	8.4	8.22	8.63	8.63	7.31	1
YGL229C	0.55	0.92	0.96	0.84	0.77	0.34	0.47	4
YDR180W	1.13	1.46	1.34	1.14	1.33	1.18	0.95	4
YDR011W	4.09	6.03	5.95	4.97	5.43	4.54	4.7	1
YBR208C	1.16	0.84	1.17	0.98	0.95	0.9	0.77	4
YNL242W	0.6	0.71	0.69	0	0.64	0.51	0.43	4
YDL058W	1.42	1.28	1.37	1.16	1.17	0.88	1.1	4
YJR104C	21.39	105.34	122.69	121.84	98.97	71.45	40.19	3
YDR533C	1.89	32.55	44.46	59.49	71.24	62.88	32.78	6
YOR285W	7.34	22.57	0	41.83	44.21	25.93	15.74	2
YGR209C	16.2	94.85	123.44	134.14	71.89	101.66	58.8	3
YPL170W	1.39	2.37	2.32	2.72	2.18	2.18	1.7	4
YCL035C	4	8.05	11.23	12.63	10.62	8.28	6.54	1
YLR109W	20.55	86.89	100.5	97.75	109.22	78.85	50.95	3
YDR032C	5.84	20.9	30.81	41.5	40.65	41.5	20.32	2
YDR272W	1.81	3.43	4.31	4.2	4.14	3.22	2.48	4
YDR513W	2.96	19.23	20.19	18.45	16.51	8.14	4.91	1
