"sodiumchloride$YORF"	"P0"	"P30"	"P60"	"P90"	"P120"	"P240"
"1"	"YAL019W"	6796.71319	7136.614461	7326.921195	7003.965627	6869.399022	6418.728761
"2"	"YAL021C"	2779.050022	2605.825957	2986.146089	3024.464764	2900.182818	2758.734392
"3"	"YAL023C"	6512.436698	6512.485109	6621.117124	6726.799959	6967.901372	6748.424416
"4"	"YAL035W"	13406.22431	13624.42294	13629.9978	13173.24947	12766.42903	12280.52263
"5"	"YAL036C"	11733.36646	11651.94384	11059.54272	10566.86609	9857.44117	10017.49285
"6"	"YAL059W"	2835.839687	2123.771618	2291.949397	2211.56054	2353.715134	1988.972339
"7"	"YAR002C-A"	20675.37706	18710.43213	19018.38506	18935.35319	19185.61453	18775.8821
"8"	"YAR002W"	4590.281414	5650.215947	5317.627297	5289.720468	4986.771072	4792.398086
"9"	"YAR015W"	4276.968159	4196.944183	4327.819999	4140.380779	3996.028987	3804.004531
"10"	"YBL002W"	443201.2609	394366.3797	303275.7241	233532.2626	134046.5618	124444.9733
"11"	"YBL024W"	16134.33573	15725.415	15712.385	15350.61443	15256.27343	15168.77587
"12"	"YBL032W"	15576.28466	17277.39443	16252.52916	14994.38681	15726.12151	14883.52452
"13"	"YBL035C"	11222.13057	11456.73108	11221.7942	10816.62968	11735.35019	9607.545707
"14"	"YBL036C"	4888.821438	5004.365257	5048.142383	4865.52892	4847.896713	4814.105543
"15"	"YBL039C"	57600.04077	55156.89228	52061.99832	51307.54034	49983.05639	47946.54653
"16"	"YBL068W"	5281.104096	4525.585862	4629.499989	4452.86196	4436.300421	4358.829843
"17"	"YBL076C"	23281.94051	21829.64809	23032.09822	23685.685	23778.43925	23484.74363
"18"	"YBL079W"	1564.443453	1449.24268	1469.818132	1598.916895	1622.706274	1552.844241
"19"	"YBL085W"	1040.166157	1098.537188	1126.238739	1056.234327	1092.621204	1074.867825
"20"	"YBR023C"	1511.585725	1987.399205	2158.338271	1542.1683	1578.355676	1402.185458
"21"	"YBR025C"	36802.56823	37296.58484	36181.71735	36171.09676	36227.78442	37641.38774
"22"	"YBR034C"	37569.71143	36417.00188	36080.23305	33546.07826	34463.31321	31520.44691
"23"	"YBR049C"	7514.312272	8546.663492	8067.365244	7410.708594	7624.654166	6902.69439
"24"	"YBR073W"	1267.516655	1352.054889	1145.459132	1304.423178	1315.087503	1078.535946
"25"	"YBR084C-A"	97742.55789	91932.93658	88214.74173	88616.04209	89112.3834	91613.25843
"26"	"YBR084W"	11423.98381	11224.99919	10363.47611	10028.58741	9871.797716	10218.77854
"27"	"YBR089C-A"	4590.281414	4699.592336	4344.11076	4318.051046	4520.869471	4521.220441
"28"	"YBR092C"	951.7158019	842.4975695	767.070672	871.6683774	854.3154196	924.2530503
"29"	"YBR093C"	1112.447872	1114.886827	880.9121266	816.1415228	774.2251674	594.018222
"30"	"YBR095C"	1629.891555	1405.632199	1460.431309	1381.258211	1510.833533	1598.864075
"31"	"YBR101C"	13112.90071	12548.61287	12469.72108	12603.17956	11950.13227	11316.04952
"32"	"YBR106W"	61807.7694	57939.13938	57378.1306	54378.80727	51813.99337	47818.03159
"33"	"YBR112C"	3890.118013	3437.908513	4208.085014	4118.921294	4239.170161	3982.323878
"34"	"YBR121C"	98424.74495	96503.26723	97027.98402	98408.1482	98579.80399	99088.64974
"35"	"YBR130C"	1010.900703	1011.927389	873.1567089	823.0093376	794.0528471	886.3168214
"36"	"YBR142W"	981.420509	986.6273531	913.9243637	887.7581058	876.3744654	892.1005129
"37"	"YBR143C"	13112.90071	12749.62787	12910.14417	12937.87784	12980.48461	13803.77566
"38"	"YBR155W"	672.1270088	665.0699309	612.4735184	584.2946832	572.5784623	521.9176649
"39"	"YBR162C"	12316.72502	13357.87088	12751.24372	12299.80799	12938.24381	14328.23387
"40"	"YBR171W"	7820.703709	7831.41341	7991.915903	8451.551528	8765.831091	8268.202142
"41"	"YBR172C"	486.1322482	467.0370327	447.6914052	439.5207159	447.6357174	406.6003911
"42"	"YBR189W"	63349.64497	58090.03097	59340.14491	57702.11356	58248.82767	57832.07871
"43"	"YBR198C"	14834.29352	11834.79486	12346.77025	9803.963958	12601.43262	13913.53777
"44"	"YBR205W"	704.4806632	536.1142844	550.8104414	594.4524947	640.5713268	612.7562757
"45"	"YBR208C"	951.7158019	1025.77892	1003.455018	1043.73241	1123.690751	1150.994894
"46"	"YBR221C"	9969.900784	9982.180152	10324.58723	10690.35302	10760.76892	10564.67867
"47"	"YBR227C"	10868.08534	9027.375588	12524.86579	13679.55458	15038.65585	12233.48236
"48"	"YBR245C"	1498.298948	1519.909562	1539.229632	1557.209472	1527.69504	1474.374857
"49"	"YBR247C"	21578.12678	19944.69259	21137.47832	20359.90309	18967.24356	18571.40339
"50"	"YBR248C"	11846.50253	12050.20948	12058.73871	12836.9061	12776.75262	14069.15369
"51"	"YBR252W"	4339.080303	4114.500686	4119.699968	3800.924832	3930.887218	3907.069051
"52"	"YBR263W"	17715.96078	16491.84162	17125.5144	17105.21808	16735.13147	16293.85089
"53"	"YBR265W"	7696.481883	5300.747144	5400.07205	6281.059795	5378.298635	6543.609884
"54"	"YBR267W"	830.4242167	759.4896963	765.4139522	770.6160796	767.7272458	790.4274969
"55"	"YBR279W"	1040.166157	1187.073792	1111.779555	1066.255453	1119.870273	1042.732421
"56"	"YBR281C"	1935.542162	2099.797554	2045.892976	2072.332949	1942.357254	2078.9489
"57"	"YCL009C"	15792.5809	14916.30023	14447.44365	14686.58526	14735.77676	16755.16884
"58"	"YCL031C"	2606.882407	2744.020908	2632.675274	2525.211608	2562.390609	2489.152252
"59"	"YCL045C"	2835.839687	2707.038058	2892.789493	2806.666224	2836.496762	2720.500248
"60"	"YCL050C"	19606.96615	19167.62466	20237.80684	20389.87205	20237.16038	17857.54598
"61"	"YCL059C"	4339.080303	4566.56824	4456.703594	4250.072892	4338.875135	3781.422834
"62"	"YCL064C"	36601.50517	34453.33478	35113.82128	33591.691	32765.55736	29816.05196
"63"	"YCR016W"	1847.732991	1888.199086	2027.266744	1768.761552	1670.503168	1786.552659
"64"	"YCR034W"	3507.958726	3386.582019	3766.112532	3417.198997	3726.121718	3418.212618
"65"	"YCR047C"	1616.855581	1765.833489	1608.578452	1477.123237	1602.134742	1447.15034
"66"	"YCR052W"	2474.93209	2908.767943	2664.153363	2482.770632	2367.860888	2119.341073
"67"	"YCR053W"	26000.37041	24827.67811	26821.86501	26893.94287	27132.4958	26576.52469
"68"	"YCR057C"	16650.55818	14435.79098	14767.35138	14359.46632	14429.5901	13218.09142
"69"	"YCR060W"	1655.885285	1888.248177	1644.80331	1540.574126	1472.496609	1258.797111
"70"	"YCR087C-A"	3432.581433	3822.942825	3529.535077	3189.101519	3019.189568	3099.933517
"71"	"YCR093W"	4297.641365	3708.156035	4482.557882	4346.315129	4145.685215	4013.884451
"72"	"YDL040C"	7597.549342	7542.173991	7930.438964	7826.544826	7690.013886	7971.866537
"73"	"YDL058W"	2325.226499	2459.771362	2539.058224	2621.782873	2581.492259	2551.117631
"74"	"YDL060W"	1390.900226	1206.329656	1353.780325	1283.114267	1253.734819	1206.414916
"75"	"YDL061C"	5413.932878	5346.004144	5082.044223	5132.524264	5161.420312	5077.074888
"76"	"YDL063C"	2595.30427	2331.876117	2292.649216	2343.386093	2219.052464	2398.781012
"77"	"YDL064W"	2595.30427	2069.651188	2696.774802	2790.186371	2571.613618	2215.216001
"78"	"YDL065C"	5347.390686	4497.8631	4625.083096	5098.421485	4409.512354	3220.764961
"79"	"YDL078C"	3302.381076	3332.25685	3467.441976	3504.301895	3493.031742	3700.89234
"80"	"YDL082W"	133101.1188	177312.0784	134303.7189	157048.4863	101540.8401	132203.2568
"81"	"YDL084W"	51687.41119	49058.48589	49459.92501	49394.27623	50129.2188	50706.28144
"82"	"YDL092W"	7995.645699	8200.604627	8261.549579	8396.770483	8413.845713	7811.150842
"83"	"YDL095W"	41519.73472	38365.30783	40697.71441	40014.32028	41203.44657	39630.43809
"84"	"YDL099W"	5215.074324	5333.655138	5777.929145	5561.492626	5232.793335	4705.749797
"85"	"YDL100C"	17332.20464	16493.55506	17287.92345	17015.22534	16465.33158	15502.47926
"86"	"YDL112W"	861.1434607	810.2343383	812.1030029	802.3575566	789.51751	807.6033841
"87"	"YDL121C"	3258.69488	3263.738957	3047.378171	2879.110294	2795.282156	2319.532437
"88"	"YDL122W"	8965.919913	8790.093375	9105.07631	8925.529007	8501.877013	8952.554345
"89"	"YDL130W"	22448.48709	20085.68377	19288.11754	20384.96953	20828.36597	21448.06008
"90"	"YDL141W"	1972.867337	2233.7544	2273.118494	1955.899039	2005.414236	1712.279431
"91"	"YDL143W"	5534.976502	5734.658534	5633.759445	5464.627944	5268.775161	5345.210953
"92"	"YDL171C"	18915.44259	19647.12295	18341.57154	18564.69756	19654.20283	22256.00803
"93"	"YDL192W"	19342.62189	16270.27329	17798.69798	16367.16521	17115.44956	18239.93647
"94"	"YDL201W"	2630	2742.870327	2742.529402	2310.741744	2430.395956	2265.173991
"95"	"YDL205C"	8480.520214	8005.684622	8356.466646	6444.785259	6554.193351	8151.729664
"96"	"YDL213C"	8965.919913	8452.101403	8111.086336	7971.607266	7897.130332	6991.720347
"97"	"YDL229W"	170038.6345	148884.5483	152475.7537	151566.3144	156262.7643	150394.2513
"98"	"YDR033W"	182461.9225	195777.2562	178858.0446	197089.5611	225034.4211	253580.3423
"99"	"YDR060W"	15024.36161	16021.02909	14152.75118	14284.21278	13869.3519	13622.72712
"100"	"YDR071C"	8681.521714	9238.508147	9193.200134	9223.50467	8945.270924	9514.866393
"101"	"YDR083W"	2779.050022	2733.417053	2553.264932	2542.68103	2619.640553	2409.582221
"102"	"YDR087C"	6964.269049	5927.044748	6215.402353	6326.214553	6019.213327	6712.238268
"103"	"YDR089W"	172.1478324	155.904854	150.7686304	141.929448	135.4595908	146.1120017
"104"	"YDR091C"	6278.43555	5751.529166	6048.954527	6175.628167	6207.292037	6202.697017
"105"	"YDR097C"	5325.266696	4876.972457	5304.672014	5569.500762	5434.34253	5175.422942
"106"	"YDR101C"	45117.53069	44621.38768	42944.03075	40312.05114	40502.04339	37740.09686
"107"	"YDR120C"	15545.46074	14915.50667	14607.89799	14578.76813	13920.54315	13852.01162
