P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YGL068W	889	605	1024	749	975	1024	497	1459	5
YKL085W	748	731	613	833	1363	1101	916	972	5
YFL017C	0	159	0	0	338	121	253	195	5
YKL067W	2314	2138	2130	2840	3288	1777	2773	2912	5
YER042W	1495	949	1285	2155	1919	740	2295	1709	5
YDR353W	12131	12780	12427	13364	17173	14923	14834	14119	1
YHR005C-A	5020	4349	5953	6134	5513	6550	4649	5601	5
YKL150W	0	70	0	0	174	39	217	188	5
YKL035W	1379	1360	1592	2145	3167	1162	2222	1708	5
YGR167W	346	802	361	0	1147	807	692	787	5
YBL050W	413	538	441	386	706	421	758	543	5
YHR137W	141	30	170	119	202	65	182	242	5
YLR258W	52	0	0	78	38	12	99	38	5
YBR203W	59	103	89	0	0	83	65	0	5
YBL030C	169	81	237	0	0	142	16	0	5
YPR069C	1357	1046	1119	1395	1468	919	663	591	5
YIL063C	350	325	522	0	299	0	260	259	5
YGL105W	2586	2143	3074	2918	2893	2225	2784	3033	5
YGL229C	88	66	97	0	0	90	25	0	5
YDR180W	32	50	56	0	64	27	28	27	5
YDR011W	0	36	0	0	60	20	15	51	5
YBR208C	45	28	88	0	27	15	44	15	5
YNL242W	39	0	0	55	0	32	19	0	5
YDL058W	63	61	81	61	73	27	29	38	5
YJR104C	6523	6793	7805	11450	11518	13653	15424	18202	1
YDR533C	497	867	2830	3756	6717	8194	9688	9997	5
YOR285W	1436	1081	1125	1111	3912	4412	3288	4102	5
YGR209C	0	679	1534	1743	3749	3064	3694	2882	5
YPL170W	326	287	768	475	563	730	472	390	5
YCL035C	1469	1046	852	1061	2219	2360	1995	3113	5
YLR109W	29625	49482	32823	38927	95124	93990	91229	82332	4
YDR032C	523	366	649	570	1386	2260	2964	3795	5
YDR272W	218	117	0	56	596	558	278	608	5
YDR513W	2045	2249	4990	5286	4480	5260	5263	5133	5
YMR090W	90	194	221	385	1272	721	1440	1030	5
YOR020C	5318	6520	7644	9456	10884	10451	11096	12645	1
YBL041W	1211	902	1065	1228	2339	1353	2045	1414	5
YBR149W	789	958	338	1001	2168	1735	1952	2178	5
YMR318C	1551	1453	1963	2394	4080	4027	4730	5756	5
YMR038C	1843	2806	3668	5960	7011	5673	4370	7031	5
YIR037W	194	212	0	528	535	223	1155	1609	5
YKL142W	144	357	364	269	822	691	839	620	5
YCL018W	0	21	276	0	164	235	77	126	5
YOL151W	247	490	208	704	1239	925	1289	1094	5
YHR106W	59	94	240	178	117	173	207	189	5
YNL156C	218	613	769	527	614	527	1032	937	5
YOR122C	312	553	0	0	2459	584	1034	724	5
YFR052W	63	160	0	0	320	324	181	212	5
YFR050C	153	449	0	0	1049	582	349	231	5
YNL274C	47	69	289	475	1437	1214	1351	1563	5
YGR232W	373	108	252	0	307	122	648	364	5
YPL061W	2998	4580	6103	9103	15936	14199	20072	29838	1
YPL091W	401	294	401	217	700	436	552	543	5
YML070W	396	189	450	359	528	424	590	772	5
YJL068C	0	128	0	0	273	455	153	122	5
YPL154C	0	55	0	80	348	257	377	281	5
YHR104W	413	556	618	920	1858	1430	1766	1467	5
YEL071W	0	233	541	1079	931	710	1543	2968	5
YOL064C	44	101	88	40	221	153	132	139	5
YLR354C	760	353	456	1092	1175	905	2343	6622	5
YCL044C	108	0	303	250	0	0	272	0	5
YLR438W	2143	1521	1987	2305	4883	3345	3849	3664	5
YLR259C	9414	10376	11429	15183	15220	14006	20901	22938	1
YNL134C	1284	2870	2993	7642	14243	15050	14730	16551	1
YMR072W	272	0	463	0	622	0	738	422	5
YKL103C	159	151	166	432	1017	601	596	452	5
YFL039C	3264	3452	2639	5314	6192	5655	6076	8071	5
YNL241C	1077	816	670	1330	2502	1708	1696	1670	5
YAL012W	12374	12125	9071	18490	16884	20117	15368	20102	1
