"YORF"	"R0"	"R30"	"R60"	"R90"	"R120"	"R240"
"1"	"YAL019W"	56.27	40.85310708	49.31233115	50.38046202	44.92977056	44.17800555
"2"	"YAL021C"	47.2	41.55257612	49.052421	44.80958028	48.17577757	48.01368776
"3"	"YAL023C"	185.85	98.64368586	235.1382511	203.7238576	205.630597	207.3374211
"4"	"YAL035W"	291.93	182.3469312	274.3964342	261.9719141	240.1163082	268.2549707
"5"	"YAL036C"	201.82	103.8528105	129.9677415	148.7435713	146.232159	164.7583211
"6"	"YAL059W"	69.38	33.666933	43.21364372	55.61365592	48.64493198	62.57008518
"7"	"YAR002C-A"	234.45	126.1227289	289.9034481	286.3456447	275.4975006	271.9050963
"8"	"YAR002W"	82.23	83.7203727	78.61259614	79.38410941	84.12983246	81.97977575
"9"	"YAR015W"	297.9	206.1226438	191.1073734	138.7702806	200.3721092	177.5875643
"10"	"YBL002W"	1117.17	1190.195206	1125.410784	1575.180485	1150.448148	1694.970872
"11"	"YBL024W"	101.03	65.31744035	83.70201534	82.01971308	76.62237214	79.51787881
"12"	"YBL032W"	136.75	76.16750646	136.1524155	133.5747333	134.0671968	133.3576333
"13"	"YBL035C"	30.37	15.78599293	30.53588665	25.73774235	28.92443061	31.19412767
"14"	"YBL036C"	145.63	134.7730841	145.1433082	143.1705289	109.0861108	127.3805124
"15"	"YBL039C"	155.93	36.10698072	79.71582678	95.32156271	94.52540348	128.5625221
"16"	"YBL068W"	75.37	36.79977438	45.201629	47.15476914	51.33931221	51.93209998
"17"	"YBL076C"	398.17	250.1103423	399.0671958	445.7520625	357.3439409	400.7051731
"18"	"YBL079W"	82.42	57.92133161	63.15005449	65.894485	57.97733815	58.41314585
"19"	"YBL085W"	64.38	51.6602408	74.39579085	68.12491773	72.56635699	64.38974494
"20"	"YBR023C"	106.12	72.46176455	102.508912	102.2617958	102.1513043	100.6567747
"21"	"YBR025C"	574.43	416.1752763	524.5860074	457.9513383	654.9481231	633.0577667
"22"	"YBR034C"	209.38	74.16540709	154.6233325	134.6939335	168.8292703	169.8700708
"23"	"YBR049C"	69.15	79.69585199	72.09569356	68.02823553	63.3101634	60.37170115
"24"	"YBR073W"	66.75	47.99839589	79.06650114	61.70664715	61.60783692	58.17868063
"25"	"YBR084C-A"	1302.38	1014.81133	1804.04752	1655.271172	1387.653648	1395.933313
"26"	"YBR084W"	163.43	62.31955456	113.7778469	124.7780842	124.4603081	130.2407671
"27"	"YBR089C-A"	55.72	34.45742591	61.0219192	59.12659927	65.90604053	48.27828899
"28"	"YBR092C"	283.95	53.00168834	167.7625938	330.6402482	212.3163216	281.3194868
"29"	"YBR093C"	5.7	1.626624614	0.922064122	3.342136749	2.312374891	1.830071575
"30"	"YBR095C"	49.58	52.10753456	51.91465373	47.32455528	46.43487113	37.8085802
"31"	"YBR101C"	85.8	69.24763569	59.44453301	58.74874151	61.95401304	69.52574266
"32"	"YBR106W"	801.65	446.7738689	884.6729175	774.9990447	643.1255739	954.0020257
"33"	"YBR112C"	134.42	121.4078586	160.7011078	135.7378705	132.052077	131.4594974
"34"	"YBR121C"	509.02	273.3801136	501.4360881	525.2491905	437.8246284	449.4630179
"35"	"YBR130C"	67.3	67.98328943	67.33037653	61.09188364	58.88641243	55.90747128
"36"	"YBR142W"	79.37	28.63249939	46.83936323	48.37966491	42.99922269	47.97813263
"37"	"YBR143C"	360.78	251.8270502	412.9770609	374.0145609	379.0139453	389.2079083
"38"	"YBR155W"	89.42	39.07922417	51.24914272	46.71312374	48.38248203	48.42426682
"39"	"YBR162C"	1600.3	775.1400876	1552.74409	2119.035752	1519.03606	2081.646596
"40"	"YBR171W"	161.55	164.4000505	144.1041924	138.0594766	118.469041	118.8662526
"41"	"YBR172C"	128.38	108.3798992	84.74234329	100.3852978	90.3190366	80.27297341
"42"	"YBR189W"	2364.02	1471.293855	2234.96891	2566.195421	2593.712423	2940.588423
"43"	"YBR198C"	56.93	55.31123305	47.20903624	45.90686886	43.60072194	45.28848627
"44"	"YBR205W"	113.22	59.94002328	87.63692898	73.90477769	86.60027712	82.90510598
"45"	"YBR208C"	38.22	26.71454751	23.39714873	68.91018278	48.73471577	44.7634722
"46"	"YBR221C"	457.25	321.6652711	413.8132052	471.3894178	446.4345112	446.0494564
"47"	"YBR227C"	46.78	53.75772623	47.63903386	43.24656308	41.40592675	41.99292523
"48"	"YBR245C"	63.35	47.74556427	56.82921586	50.97950961	49.62517378	54.39318493
"49"	"YBR247C"	91.07	33.52723798	59.95811633	67.49004755	58.64316559	63.26194491
"50"	"YBR248C"	157.87	130.8475275	172.3001984	173.7269034	175.5086629	151.3993995
"51"	"YBR252W"	92.12	42.55438182	82.97665286	76.03642962	80.62169662	84.55792896
"52"	"YBR263W"	116.8	48.56920349	94.29155942	100.6421413	101.1637884	107.3383915
"53"	"YBR265W"	82.52	67.26536131	90.47719218	96.36024634	105.8923169	110.8654597
"54"	"YBR267W"	99.4	54.95842009	63.20626534	66.80475097	69.54020826	74.70094746
"55"	"YBR279W"	107.37	133.59646	125.1487231	116.713589	94.85239374	92.80644315
"56"	"YBR281C"	33.37	39.70162877	41.42877428	31.24698275	29.66192934	30.07068981
"57"	"YCL009C"	551.77	339.7403841	616.6512079	745.4569507	811.3688467	777.5411794
"58"	"YCL031C"	333.85	304.4287072	242.4610944	257.8777541	249.6497825	234.6035286
"59"	"YCL045C"	290.22	233.8648108	314.8755124	295.4205372	263.7615455	265.7179588
"60"	"YCL050C"	454.72	393.291425	411.41224	288.8474234	308.4651415	317.5820907
"61"	"YCL059C"	305.83	100.2683323	167.0760364	179.9679627	151.4340424	185.4321781
"62"	"YCL064C"	29.17	46.86445281	7.527565716	29.03498009	23.15840338	17.56180868
"63"	"YCR016W"	108.92	51.10935261	73.46588345	72.37354681	66.69534237	69.66646785
"64"	"YCR034W"	220.25	72.41423374	196.5193148	195.2413658	166.0360541	213.9391085
"65"	"YCR047C"	48.78	20.53398369	27.762925	32.33065697	37.2495858	34.71009228
"66"	"YCR052W"	63.73	51.51427993	60.71920321	51.86817818	54.03215014	50.33630899
"67"	"YCR053W"	490.62	334.8565793	529.6797649	472.7167655	441.6731961	407.5192775
"68"	"YCR057C"	106.98	39.84990531	58.43464426	71.17375079	69.73155978	77.4268445
"69"	"YCR060W"	81.08	54.1665932	131.5374727	97.65911216	105.0151463	120.0858938
"70"	"YCR087C-A"	75.48	27.21215447	59.00018362	63.35443469	59.5494887	74.33699885
"71"	"YCR093W"	130.18	142.4279087	92.14794275	95.48859573	85.5515385	95.5750015
"72"	"YDL040C"	105.33	77.92313895	108.1105987	101.8340135	85.40519188	107.1643719
"73"	"YDL058W"	52.9	40.66798389	44.98625792	42.59042443	38.34402553	40.52723397
"74"	"YDL060W"	85.88	38.19047007	50.85703055	57.99168683	52.4477912	63.23991798
"75"	"YDL061C"	366.85	210.5478926	473.5705474	500.0004262	528.8144823	540.5666556
"76"	"YDL063C"	54.4	17.41870594	28.95676647	39.32633578	35.56568574	42.25919804
"77"	"YDL064W"	133.4	96.70201223	105.2577877	106.5365333	90.63454967	95.64164628
"78"	"YDL065C"	129.08	138.0030686	155.0240351	116.4029773	112.3559434	124.4900924
"79"	"YDL078C"	105.28	111.5753245	130.4504305	117.8012372	161.9798447	124.7659147
"80"	"YDL082W"	1496.9	1044.348276	1489.490005	2032.714902	1780.329878	1613.870234
"81"	"YDL084W"	450.77	309.9178873	503.5055242	455.5915693	447.3758114	459.6595279
"82"	"YDL092W"	160.12	136.7898221	174.1459382	142.194911	131.2491054	83.94396691
"83"	"YDL095W"	182.13	108.0100502	185.4333443	195.0043633	196.5431365	213.7669126
"84"	"YDL099W"	262.83	309.5146552	274.0974864	241.8291113	221.2584704	187.5584843
"85"	"YDL100C"	282.17	230.375133	326.9649757	270.0299972	232.9888009	280.5214613
"86"	"YDL112W"	69.78	30.18567956	42.7140585	50.67623785	44.47477195	53.04464264
"87"	"YDL121C"	118.4	57.6863283	105.2437332	91.76127733	77.86712638	105.1461017
"88"	"YDL122W"	102.77	99.82284444	93.40649425	91.62497499	75.46898064	89.03319043
"89"	"YDL130W"	2427	2028.824625	1666.269281	2146.210293	3000.224643	2183.281206
"90"	"YDL141W"	56.9	45.22608755	47.19350121	48.85927084	48.51707834	51.20218234
"91"	"YDL143W"	206.27	193.6022584	194.1648421	180.4766395	144.6817079	179.2735907
"92"	"YDL171C"	123.32	41.80389324	71.77240426	117.4805113	125.5456394	132.8970937
"93"	"YDL192W"	873.05	527.0133324	825.6533491	762.7957039	643.6640564	782.4668596
"94"	"YDL201W"	95.52	36.74193806	65.89081451	57.72480849	61.29235912	71.60578496
"95"	"YDL205C"	7.55	6.076263005	8.171457412	7.887517269	8.704363796	8.148478964
"96"	"YDL213C"	168.33	60.92872971	173.0718009	140.4609296	110.6007302	141.5989984
"97"	"YDL229W"	2081.15	1263.318472	1917.050018	2457.620541	2326.471823	2893.894529
"98"	"YDR033W"	1035.27	287.8337214	1265.857761	1839.183942	1742.642169	1839.710929
"99"	"YDR060W"	187.55	48.00584696	105.1004161	110.4979357	103.6317857	110.0210954
"100"	"YDR071C"	231.8	250.6404631	263.2328017	227.2751511	211.848898	265.6556705
"101"	"YDR083W"	79.1	26.09453997	46.84937458	50.40325126	48.41604298	47.9977855
"102"	"YDR087C"	76.9	31.88680055	58.15880366	50.53222671	52.89015373	60.84256283
"103"	"YDR089W"	63.98	39.64562703	50.93437646	50.35707475	54.26245528	54.34106476
"104"	"YDR091C"	141.82	70.05281354	115.6068791	135.2059639	117.9060392	146.9631336
"105"	"YDR097C"	47.82	20.72929214	45.54628936	37.68629315	38.4851769	38.53359771
"106"	"YDR101C"	138.1	36.90098095	77.65007075	79.49221289	86.74799545	91.20181684
